subset_indices,subset_bitmask,num_features,accuracy,error_hE,penalty_hP,fitness_h
"(1, 2, 3, 4, 6, 8, 9, 10, 12)",0111101011101,9,0.8271604938271605,0.1728395061728395,0.09,0.26283950617283947
"(1, 2, 3, 4, 6, 8, 9, 10, 11)",0111101011110,9,0.8148148148148148,0.18518518518518523,0.09,0.2751851851851852
"(1, 2, 3, 4, 6, 8, 9, 10, 11, 12)",0111101011111,10,0.8518518518518519,0.14814814814814814,0.1,0.24814814814814815
"(1, 2, 3, 4, 6, 7)",0111101100000,6,0.7160493827160493,0.28395061728395066,0.06,0.34395061728395065
"(1, 2, 3, 4, 6, 7, 12)",0111101100001,7,0.8395061728395061,0.16049382716049387,0.07,0.23049382716049388
"(1, 2, 3, 4, 6, 7, 11)",0111101100010,7,0.8148148148148148,0.18518518518518523,0.07,0.25518518518518524
"(1, 2, 3, 4, 6, 7, 11, 12)",0111101100011,8,0.8765432098765432,0.12345679012345678,0.08,0.2034567901234568
"(1, 2, 3, 4, 6, 7, 10)",0111101100100,7,0.7901234567901234,0.2098765432098766,0.07,0.2798765432098766
"(1, 2, 3, 4, 6, 7, 10, 12)",0111101100101,8,0.7901234567901234,0.2098765432098766,0.08,0.2898765432098766
"(1, 2, 3, 4, 6, 7, 10, 11)",0111101100110,8,0.8024691358024691,0.19753086419753085,0.08,0.27753086419753087
"(1, 2, 3, 4, 6, 7, 10, 11, 12)",0111101100111,9,0.8395061728395061,0.16049382716049387,0.09,0.25049382716049384
"(1, 2, 3, 4, 6, 7, 9)",0111101101000,7,0.8148148148148148,0.18518518518518523,0.07,0.25518518518518524
"(1, 2, 3, 4, 6, 7, 9, 12)",0111101101001,8,0.8641975308641975,0.13580246913580252,0.08,0.21580246913580253
"(1, 2, 3, 4, 6, 7, 9, 11)",0111101101010,8,0.8271604938271605,0.1728395061728395,0.08,0.2528395061728395
"(1, 2, 3, 4, 6, 7, 9, 11, 12)",0111101101011,9,0.8888888888888888,0.11111111111111116,0.09,0.20111111111111116
"(1, 2, 3, 4, 6, 7, 9, 10)",0111101101100,8,0.7654320987654321,0.23456790123456794,0.08,0.31456790123456796
"(1, 2, 3, 4, 6, 7, 9, 10, 12)",0111101101101,9,0.8271604938271605,0.1728395061728395,0.09,0.26283950617283947
"(1, 2, 3, 4, 6, 7, 9, 10, 11)",0111101101110,9,0.8395061728395061,0.16049382716049387,0.09,0.25049382716049384
"(1, 2, 3, 4, 6, 7, 9, 10, 11, 12)",0111101101111,10,0.8518518518518519,0.14814814814814814,0.1,0.24814814814814815
"(1, 2, 3, 4, 6, 7, 8)",0111101110000,7,0.7777777777777778,0.2222222222222222,0.07,0.2922222222222222
"(1, 2, 3, 4, 6, 7, 8, 12)",0111101110001,8,0.8148148148148148,0.18518518518518523,0.08,0.26518518518518525
"(1, 2, 3, 4, 6, 7, 8, 11)",0111101110010,8,0.8148148148148148,0.18518518518518523,0.08,0.26518518518518525
"(1, 2, 3, 4, 6, 7, 8, 11, 12)",0111101110011,9,0.8271604938271605,0.1728395061728395,0.09,0.26283950617283947
"(1, 2, 3, 4, 6, 7, 8, 10)",0111101110100,8,0.8395061728395061,0.16049382716049387,0.08,0.2404938271604939
"(1, 2, 3, 4, 6, 7, 8, 10, 12)",0111101110101,9,0.7777777777777778,0.2222222222222222,0.09,0.3122222222222222
"(1, 2, 3, 4, 6, 7, 8, 10, 11)",0111101110110,9,0.8148148148148148,0.18518518518518523,0.09,0.2751851851851852
"(1, 2, 3, 4, 6, 7, 8, 10, 11, 12)",0111101110111,10,0.8271604938271605,0.1728395061728395,0.1,0.2728395061728395
"(1, 2, 3, 4, 6, 7, 8, 9)",0111101111000,8,0.8024691358024691,0.19753086419753085,0.08,0.27753086419753087
"(1, 2, 3, 4, 6, 7, 8, 9, 12)",0111101111001,9,0.8641975308641975,0.13580246913580252,0.09,0.2258024691358025
"(1, 2, 3, 4, 6, 7, 8, 9, 11)",0111101111010,9,0.8148148148148148,0.18518518518518523,0.09,0.2751851851851852
"(1, 2, 3, 4, 6, 7, 8, 9, 11, 12)",0111101111011,10,0.8765432098765432,0.12345679012345678,0.1,0.2234567901234568
"(1, 2, 3, 4, 6, 7, 8, 9, 10)",0111101111100,9,0.8024691358024691,0.19753086419753085,0.09,0.2875308641975308
"(1, 2, 3, 4, 6, 7, 8, 9, 10, 12)",0111101111101,10,0.8148148148148148,0.18518518518518523,0.1,0.2851851851851852
"(1, 2, 3, 4, 6, 7, 8, 9, 10, 11)",0111101111110,10,0.8271604938271605,0.1728395061728395,0.1,0.2728395061728395
"(1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12)",0111101111111,11,0.8518518518518519,0.14814814814814814,0.11,0.2581481481481481
"(1, 2, 3, 4, 5)",0111110000000,5,0.691358024691358,0.308641975308642,0.05,0.358641975308642
"(1, 2, 3, 4, 5, 12)",0111110000001,6,0.7160493827160493,0.28395061728395066,0.06,0.34395061728395065
"(1, 2, 3, 4, 5, 11)",0111110000010,6,0.7037037037037037,0.2962962962962963,0.06,0.3562962962962963
"(1, 2, 3, 4, 5, 11, 12)",0111110000011,7,0.8024691358024691,0.19753086419753085,0.07,0.26753086419753086
"(1, 2, 3, 4, 5, 10)",0111110000100,6,0.7777777777777778,0.2222222222222222,0.06,0.2822222222222222
"(1, 2, 3, 4, 5, 10, 12)",0111110000101,7,0.7777777777777778,0.2222222222222222,0.07,0.2922222222222222
"(1, 2, 3, 4, 5, 10, 11)",0111110000110,7,0.7654320987654321,0.23456790123456794,0.07,0.30456790123456795
